country,country_fixed,region
Uzbekistan,Uzbekistan,CIS
Tuvalu,Tuvalu,Asia & Pacific
Estonia,Estonia,Europe
Papua New Guinea,Papua New Guinea,Asia & Pacific
Slovakia,Slovakia,Europe
Andorra,Andorra,Europe
Spain,Spain,Europe
Afghanistan,Afghanistan,Asia & Pacific
Mauritania,Mauritania,Arab States
Russia,Russian Federation,Europe
Russian Federation,Russian Federation,Europe
Fiji,Fiji,Asia & Pacific
Swaziland,Swaziland,Africa
Ghana,Ghana,Africa
Armenia,Armenia,CIS
Haiti,Haiti,South/Latin America
Iraq,Iraq,Arab States
New Zealand,New Zealand,Asia & Pacific
Nigeria,Nigeria,Africa
Tajikistan,Tajikistan,CIS
Iceland,Iceland,Europe
Trinidad and Tobago,Trinidad and Tobago,South/Latin America
Nauru,Nauru,Asia & Pacific
Turkmenistan,Turkmenistan,CIS
Maldives,Maldives,Asia & Pacific
"Hong Kong, China","Hong Kong, China",Asia & Pacific
Thailand,Thailand,Asia & Pacific
Timor-Leste,Timor-Leste,Asia & Pacific
Brazil,Brazil,South/Latin America
Uganda,Uganda,Africa
Guyana,Guyana,South/Latin America
Angola,Angola,Africa
Mali,Mali,Africa
Liberia,Liberia,Africa
Moldova,Moldova,Europe
Venezuela,Venezuela,South/Latin America
United Arab Emirates,United Arab Emirates,Arab States
Central African Republic,Central African Republic,Africa
Barbados,Barbados,South/Latin America
Sierra Leone,Sierra Leone,Africa
Bahamas,Bahamas,South/Latin America
Ukraine,Ukraine,CIS
Kenya,Kenya,Africa
Albania,Albania,Europe
Lebanon,Lebanon,Arab States
Sudan,Sudan,Arab States
Benin,Benin,Africa
Grenada,Grenada,South/Latin America
Malawi,Malawi,Africa
Poland,Poland,Europe
Portugal,Portugal,Europe
Guinea-Bissau,Guinea-Bissau,Africa
Canada,Canada,North America
Cameroon,Cameroon,Africa
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe
Mozambique,Mozambique,Africa
Luxembourg,Luxembourg,Europe
El Salvador,El Salvador,South/Latin America
Mongolia,Mongolia,Asia & Pacific
Zimbabwe,Zimbabwe,Africa
Guinea,Guinea,Africa
Burundi,Burundi,Africa
Cape Verde,Cape Verde,Africa
Colombia,Colombia,South/Latin America
Guatemala,Guatemala,South/Latin America
Tanzania,Tanzania,Africa
Chad,Chad,Africa
Puerto Rico,Puerto Rico,South/Latin America
Latvia,Latvia,Europe
North Korea,North Korea,Asia & Pacific
Egypt,Egypt,Arab States
Germany,Germany,Europe
Belize,Belize,South/Latin America
Kyrgyzstan,Kyrgyz Republic,CIS
Botswana,Botswana,Africa
Bahrain,Bahrain,Arab States
Bhutan,Bhutan,Asia & Pacific
Tonga,Tonga,Asia & Pacific
Austria,Austria,Europe
Switzerland,Switzerland,Europe
Panama,Panama,South/Latin America
Myanmar,Myanmar,Asia & Pacific
Japan,Japan,Asia & Pacific
Libya,Libya,Arab States
Bolivia,Bolivia,South/Latin America
Niger,Niger,Africa
Burkina Faso,Burkina Faso,Africa
Jordan,Jordan,Arab States
Romania,Romania,Europe
Solomon Islands,Solomon Islands,Asia & Pacific
Cambodia,Cambodia,Asia & Pacific
Singapore,Singapore,Asia & Pacific
Vanuatu,Vanuatu,Asia & Pacific
Norway,Norway,Europe
Laos,Laos,Asia & Pacific
South Sudan,South Sudan,Africa
Kiribati,Kiribati,Asia & Pacific
Honduras,Honduras,South/Latin America
Niue,Niue,Asia & Pacific
Sao Tome and Principe,Sao Tome and Principe,Africa
Pakistan,Pakistan,Asia & Pacific
United States,United States,North America
Tunisia,Tunisia,Arab States
Gabon,Gabon,Africa
Ethiopia,Ethiopia,Africa
China,China,Asia & Pacific
Uruguay,Uruguay,South/Latin America
Madagascar,Madagascar,Africa
Finland,Finland,Europe
Georgia,Georgia,CIS
St. Kitts and Nevis,St. Kitts and Nevis,South/Latin America
Malta,Malta,Europe
"Macedonia, FYR","Macedonia, FYR",Europe
Jamaica,Jamaica,South/Latin America
Marshall Islands,Marshall Islands,Asia & Pacific
United Kingdom,United Kingdom,Europe
Eritrea,Eritrea,Africa
Ireland,Ireland,Europe
Argentina,Argentina,South/Latin America
"Congo, Rep.","Congo, Rep.",Africa
Gambia,Gambia,Africa
Monaco,Monaco,Europe
Yemen,Yemen,Arab States
Nicaragua,Nicaragua,South/Latin America
Belgium,Belgium,Europe
Nepal,Nepal,Asia & Pacific
Cook Is,Cook Is,Asia & Pacific
Croatia,Croatia,Europe
Peru,Peru,South/Latin America
Seychelles,Seychelles,Africa
Bangladesh,Bangladesh,Asia & Pacific
Taiwan,Taiwan,Asia & Pacific
Kuwait,Kuwait,Arab States
"Micronesia, Fed. Sts.","Micronesia, Fed. Sts.",Asia & Pacific
Slovenia,Slovenia,Europe
Kosovo,Kosovo,Europe
Paraguay,Paraguay,South/Latin America
"Macao, China","Macao, China",Asia & Pacific
Belarus,Belarus,CIS
Sweden,Sweden,Europe
Morocco,Morocco,Arab States
Indonesia,Indonesia,Asia & Pacific
Lao,Laos,Asia & Pacific
Kazakhstan,Kazakhstan,CIS
Mexico,Mexico,South/Latin America
Slovak Republic,Slovakia,Europe
Cote d'Ivoire,Cote d'Ivoire,Africa
Dominican Republic,Dominican Republic,South/Latin America
Iran,Iran,Asia & Pacific
Denmark,Denmark,Europe
Ecuador,Ecuador,South/Latin America
Hungary,Hungary,Europe
Togo,Togo,Africa
Antigua and Barbuda,Antigua and Barbuda,South/Latin America
India,India,Asia & Pacific
Chile,Chile,South/Latin America
Senegal,Senegal,Africa
Palau,Palau,Asia & Pacific
Rwanda,Rwanda,Africa
Oman,Oman,Arab States
Costa Rica,Costa Rica,South/Latin America
Bulgaria,Bulgaria,Europe
Czech Republic,Czech Republic,Europe
Malaysia,Malaysia,Asia & Pacific
Djibouti,Djibouti,Arab States
Greece,Greece,Europe
Namibia,Namibia,Africa
Suriname,Suriname,South/Latin America
Turkey,Turkey,Europe
Serbia,Serbia,Europe
Zambia,Zambia,Africa
Mauritius,Mauritius,Africa
Dominica,Dominica,South/Latin America
Samoa,Samoa,Asia & Pacific
Kyrgyz Republic,Kyrgyz Republic,CIS
South Africa,South Africa,Africa
Philippines,Philippines,Asia & Pacific
Australia,Australia,Asia & Pacific
Montenegro,Montenegro,Europe
Azerbaijan,Azerbaijan,CIS
"Congo, Dem. Rep.","Congo, Dem. Rep.",Africa
France,France,Europe
Equatorial Guinea,Equatorial Guinea,Africa
Brunei,Brunei,Asia & Pacific
Qatar,Qatar,Arab States
Netherlands,Netherlands,Europe
St. Lucia,St. Lucia,South/Latin America
Cyprus,Cyprus,Europe
San Marino,San Marino,Europe
Saudi Arabia,Saudi Arabia,Arab States
Algeria,Algeria,Arab States
St. Vincent and the Grenadines,St. Vincent and the Grenadines,South/Latin America
Somalia,Somalia,Arab States
Italy,Italy,Europe
Comoros,Comoros,Arab States
Vietnam,Vietnam,Asia & Pacific
Syria,Syria,Asia & Pacific
Lithuania,Lithuania,Europe
Cuba,Cuba,South/Latin America
South Korea,South Korea,Asia & Pacific
Israel,Israel,Europe
Lesotho,Lesotho,Africa
West Bank and Gaza,West Bank and Gaza,Arab States
Sri Lanka,Sri Lanka,Asia & Pacific
Bermuda,Bermuda,North America
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,South/Latin America
Macau,"Macao, China",Asia & Pacific
Liechtenstein,Liechtenstein,Europe
Saint Lucia,St. Lucia,South/Latin America
Greenland,Greenland,Europe
Dominican Rep.,Dominican Republic,South/Latin America
FYR Macedonia,"Macedonia, FYR",Europe
Hong Kong,"Hong Kong, China",Asia & Pacific
Turks and Caicos Islands,Turks and Caicos Islands,South/Latin America
Montserrat,Montserrat,South/Latin America
"Macau, China","Macao, China",Asia & Pacific
"Egypt, Arab Rep.",Egypt,Arab States
British Virgin Islands,British Virgin Islands,South/Latin America
Korea (South),South Korea,Asia & Pacific
CÃ´te dÂ´Ivoire,Cote d'Ivoire,Africa
"Korea, Rep.",South Korea,Asia & Pacific
Europe & Central Asia,South Korea,Asia & Pacific
IDA total,DELETE,
World,DELETE,
USA,United States,North America
Aruba,Aruba,South/Latin America
Moldovaa,Moldova,Europe
Congo  Republic,"Congo, Rep.",Africa
"Gambia, The",Gambia,Africa
Korea (North),North Korea,Asia & Pacific
Lao PDR,Laos,Asia & Pacific
Isle of Man,Isle of Man,Europe
"Congo, Democratic Republic","Congo, Dem. Rep.",Africa
Democratic Republic of Congo,"Congo, Dem. Rep.",Africa
Sao Tome & Principe,Sao Tome and Principe,Africa
Lower middle income,DELETE,
Congo-Brazzaville,"Congo, Rep.",Africa
Fragile and conflict affected situations,DELETE,
"Korea, Dem. Rep.",North Korea,Asia & Pacific
Low income,DELETE,
East Asia & Pacific,DELETE,
"Iran, Islamic Rep.",Iran,Asia & Pacific
Democratic Republic of the Congo ,"Congo, Dem. Rep.",Africa
Cabo Verde,Cape Verde,Africa
Central African Rep.,Central African Republic,Africa
Czech Republik,Czech Republic,Europe
Cayman Islands,Cayman Islands,South/Latin America
Middle East & North Africa,DELETE,
Sub-Saharan Africa,DELETE,
Low & middle income,DELETE,
South Asia,DELETE,
Netherlands Antilles,Netherlands Antilles,South/Latin America
Brunei Darussalam,Brunei,Asia & Pacific
Latin America & Caribbean,DELETE,
Kuweit,Kuwait,Arab States
Channel Islands,Channel Islands,Europe
Upper middle income,DELETE,
Viet Nam,Vietnam,Asia & Pacific
"Yemen, Rep.",Yemen,Arab States
High income,DELETE,
"Congo, Republic","Congo, Rep.",Africa
